asset_id,department,asset_type,safety_function,station_code,station_name,zone,state,section_id,asset_age_years,asset_criticality,asset_criticality_score,scheduled_services_count_proxy,traffic_percentile,network_neighbor_degree,alternative_route_available,affected_services_if_blocked,operational_impact_score,maintenance_interval_days,days_since_last_maintenance,maintenance_overdue_days,failures_last_365d,failures_last_90d,failures_last_30d,same_defect_recurrences_365d,inspection_image_available,total_events_logged,last_recorded_event_id,last_recorded_date
AST-000322,Traction,OHE Contact/Catenary,traction power collection,MK,MIRANPUR KATRA,NER,Uttar Pradesh,SEC-MK-TLH,6.2,HIGH,77.7,157.0,0.9519,4.0,1,76.0,75.8,30.0,22,0.0,1,0,0,0,1,2,EVT-0009066,2026-07-06
AST-000323,Engineering,Bridge/Culvert,structural route continuity,BUA,BARADWAR,SECR,Chhattisgarh,SEC-BUA-JDDA,11.8,HIGH,68.4,59.0,0.6976,3.0,1,27.0,55.5,90.0,144,54.0,0,0,0,0,0,5,EVT-0008636,2026-06-08
AST-000324,Engineering,Bridge/Culvert,structural route continuity,BOY,BHADOHI,NER,Uttar Pradesh,SEC-BOY-PRF,5.8,HIGH,67.8,44.0,0.6226,2.0,1,22.0,47.2,90.0,333,243.0,1,0,0,1,0,5,EVT-0009478,2026-07-31
AST-000325,Engineering,Rail/Track Section,direct train running safety,MPH,MUNDHA PANDE,NER,Uttar Pradesh,SEC-MPH-RMU,14.4,HIGH,77.0,151.0,0.945,4.0,1,77.0,75.2,30.0,412,382.0,0,0,0,0,0,3,EVT-0009984,2026-08-29
AST-000326,Engineering,Rail/Track Section,direct train running safety,KCVL,KOCHUVELI,SR,Kerala,SEC-KCVL-TVP,14.4,HIGH,76.5,88.0,0.7972,10.0,1,35.0,71.0,30.0,37,7.0,0,0,0,0,0,5,EVT-0004340,2025-09-27
AST-000327,Traction,Cantilever Assembly,OHE geometry,CKKD,CHARKHERA KHURD,WCR,Madhya Pradesh,SEC-CKKD-ETB,8.3,HIGH,67.1,67.0,0.7243,6.0,1,26.0,64.6,30.0,25,0.0,0,0,0,0,1,2,EVT-0007477,2026-04-03
AST-000328,Engineering,Rail/Track Section,direct train running safety,FTP,FATEHPUR,NR,Uttar Pradesh,SEC-FTP-KKS,9.3,HIGH,75.9,143.0,0.9363,2.0,1,72.0,66.5,30.0,56,26.0,0,0,0,0,1,2,EVT-0004889,2025-10-31
AST-000329,S&T,Point Machine,route setting,SPN,SHAHJEHANPUR,NER,Uttar Pradesh,SEC-SPN-SZP,1.4,CRITICAL,81.8,170.0,0.9606,4.0,1,69.0,77.3,14.0,69,55.0,1,1,0,1,0,3,EVT-0004752,2025-10-22
AST-000330,Engineering,Points & Crossing,route setting and derailment prevention,HDD,HADDINAGUNDU,SCR,Karnataka,SEC-HDD-BAY,16.4,HIGH,73.6,30.0,0.5148,2.0,0,18.0,54.7,14.0,8,0.0,0,0,0,0,0,1,EVT-0000258,2025-01-15
AST-000331,S&T,Colour Light Signal,movement authority indication,KHKT,KHOTKHOTI,NFR,Assam,SEC-KHKT-DMV,6.9,HIGH,77.2,38.0,0.5758,2.0,0,27.0,59.0,30.0,27,0.0,0,0,0,0,0,5,EVT-0009608,2026-08-08
AST-000332,Engineering,Ballast/Formation Zone,track geometry and drainage,BKSC,BOKARO STEEL CITY,ECR,Jharkhand,SEC-BKSC-TKB,21.8,MEDIUM,54.5,54.0,0.6777,4.0,1,19.0,54.9,60.0,125,65.0,0,0,0,0,0,1,EVT-0006962,2026-03-03
AST-000333,Engineering,Level Crossing Surface,road-rail interface,TBX,Tilbhum,NFR,Tripura,SEC-TBX-CBZ,8.1,MEDIUM,44.0,6.0,0.1827,2.0,0,3.0,29.0,30.0,62,32.0,0,0,0,0,0,3,EVT-0006802,2026-02-22
AST-000334,Traction,OHE Contact/Catenary,traction power collection,PBB,PARBATONIA,SER,Orissa,SEC-PBB-TATI,15.0,MEDIUM,55.7,18.0,0.3888,3.0,1,9.0,35.3,30.0,29,0.0,1,1,0,1,0,4,EVT-0007321,2026-03-25
AST-000335,Engineering,Rail/Track Section,direct train running safety,CEL,CHEBROL,SCR,Andhra Pradesh,SEC-CEL-VGT,6.6,HIGH,72.5,128.0,0.9012,2.0,1,46.0,63.7,30.0,66,36.0,0,0,0,0,1,2,EVT-0008004,2026-05-04
AST-000336,S&T,Point Machine,route setting,SGWF,WHITE FIELD SATELLITE,SWR,Karnataka,SEC-SGWF-WFD,24.5,CRITICAL,78.2,74.0,0.7555,17.0,1,31.0,69.1,14.0,189,175.0,0,0,0,0,1,4,EVT-0008657,2026-06-11
AST-000337,S&T,Colour Light Signal,movement authority indication,BRGA,BARGARH ROAD,SECR,Chhattisgarh,SEC-BRGA-BRPL,3.2,HIGH,76.6,33.0,0.5379,2.0,0,24.0,56.7,30.0,116,86.0,0,0,0,0,1,4,EVT-0007892,2026-04-27
AST-000338,Engineering,Ballast/Formation Zone,track geometry and drainage,HER,Her,SCR,Maharashtra,SEC-HER-KTKR,9.0,LOW,40.2,16.0,0.3658,2.0,1,4.0,26.2,60.0,172,112.0,1,0,0,0,1,3,EVT-0007325,2026-03-25
AST-000339,Engineering,Points & Crossing,route setting and derailment prevention,TTB,TITABAR,NFR,Assam,SEC-TTB-KQY,2.7,HIGH,69.8,34.0,0.5479,2.0,0,19.0,55.6,14.0,73,59.0,1,1,0,1,0,4,EVT-0007616,2026-04-10
AST-000340,Engineering,Level Crossing Surface,road-rail interface,KBI,KAMBRGANVI,SWR,Karnataka,SEC-KBI-NGV,0.5,HIGH,61.6,43.0,0.6096,2.0,0,25.0,56.9,30.0,65,35.0,0,0,0,0,0,1,EVT-0000836,2025-02-20
AST-000341,S&T,Axle Counter,train detection,VDGN,VADGAON NILA,SCR,Maharashtra,SEC-VDGN-WDN,2.1,HIGH,71.4,24.0,0.4655,2.0,0,18.0,51.5,30.0,55,25.0,0,0,0,0,0,4,EVT-0004433,2025-10-04
AST-000342,Engineering,Points & Crossing,route setting and derailment prevention,CGL,CHENGALPATTU,SR,Tamil Nadu,SEC-CGL-TRX,6.4,HIGH,74.9,99.0,0.8229,3.0,1,48.0,64.0,14.0,34,20.0,2,1,0,1,1,7,EVT-0008230,2026-05-17
AST-000343,S&T,Track Circuit,train detection,NGL,NANGAL,NR,Uttar Pradesh,SEC-NGL-THJ,2.8,CRITICAL,79.0,57.0,0.692,2.0,0,34.0,65.8,30.0,37,7.0,1,1,0,0,1,2,EVT-0008105,2026-05-09
AST-000344,S&T,Colour Light Signal,movement authority indication,BAMR,BAMUR,SER,Odisha,SEC-BAMR-SRGP,14.2,HIGH,75.1,32.0,0.5312,2.0,0,19.0,56.0,30.0,9,0.0,0,0,0,0,0,1,EVT-0009944,2026-08-27
AST-000345,S&T,Colour Light Signal,movement authority indication,AMIN,AMIN,NR,Haryana,SEC-AMIN-NLKR,5.1,CRITICAL,83.0,94.0,0.8104,2.0,0,69.0,73.3,30.0,213,183.0,0,0,0,0,1,5,EVT-0009024,2026-07-04
AST-000346,Traction,OHE Contact/Catenary,traction power collection,DKS,DAREKASA,SECR,Maharashtra,SEC-DKS-SKS,4.9,HIGH,68.3,85.0,0.7887,3.0,1,45.0,60.5,30.0,87,57.0,0,0,0,0,1,3,EVT-0005402,2025-12-01
AST-000347,S&T,Colour Light Signal,movement authority indication,BVC,BHAVNAGAR TERMINUS,WR,Gujarat,SEC-BVC-BVP,14.5,HIGH,74.4,24.0,0.4655,2.0,0,15.0,52.2,30.0,11,0.0,0,0,0,0,0,1,EVT-0000843,2025-02-20
AST-000348,Traction,Section Insulator,electrical sectioning,DVL,DEVLALI,CR,Maharashtra,SEC-DVL-NK,6.0,HIGH,71.9,143.0,0.9363,2.0,1,55.0,65.5,30.0,67,37.0,0,0,0,0,0,2,EVT-0006019,2026-01-06
AST-000349,Engineering,Bridge/Culvert,structural route continuity,LP,LALAPET,SR,Tamil Nadu,SEC-LP-TIC,3.5,HIGH,66.8,24.0,0.4655,2.0,1,6.0,38.3,90.0,82,0.0,0,0,0,0,0,5,EVT-0009657,2026-08-11
AST-000350,Engineering,Ballast/Formation Zone,track geometry and drainage,BDXT,BASAI DHANKOT,NR,Haryana,SEC-BDXT-GHH,3.6,MEDIUM,53.2,76.0,0.7603,3.0,1,26.0,55.1,60.0,113,53.0,1,0,0,1,1,4,EVT-0008023,2026-05-05
AST-000351,S&T,Electronic Interlocking,route locking and conflict prevention,LDW,LADHOWAL,NR,Punjab,SEC-LDW-PHR,11.2,CRITICAL,94.7,156.0,0.9514,2.0,0,123.0,84.0,30.0,177,147.0,0,0,0,0,0,4,EVT-0007921,2026-04-28
AST-000353,S&T,Axle Counter,train detection,GNVR,GONDWANAVISAPUR,SECR,Maharashtra,SEC-GNVR-VSP,5.9,CRITICAL,81.6,125.0,0.895,3.0,1,71.0,69.6,30.0,14,0.0,0,0,0,0,1,2,EVT-0003245,2025-07-27
AST-000354,S&T,Axle Counter,train detection,LMC,LAKHAMANCHI,WR,Gujarat,SEC-LMC-THAN,3.0,CRITICAL,85.9,72.0,0.7437,2.0,0,38.0,70.4,30.0,38,8.0,0,0,0,0,1,1,EVT-0000131,2025-01-08
AST-000355,S&T,Track Circuit,train detection,RMA,RAMGANJ MANDI,WCR,Rajasthan,SEC-RMA-MKX,3.3,CRITICAL,89.3,100.0,0.8298,2.0,0,82.0,76.0,30.0,153,123.0,0,0,0,0,1,2,EVT-0005561,2025-12-10
AST-000356,S&T,Point Machine,route setting,RGP,RAGHUNATHPALLI,SCR,Andhra Pradesh,SEC-RGP-ZN,2.2,CRITICAL,83.1,97.0,0.8213,2.0,0,65.0,73.9,14.0,150,136.0,2,1,0,2,1,4,EVT-0007210,2026-03-18
AST-000357,Engineering,Rail/Track Section,direct train running safety,TLB,TALWA BAZAR,ER,Jharkhand,SEC-TLB-TTN,9.3,MEDIUM,58.1,20.0,0.4152,4.0,1,8.0,41.4,30.0,207,177.0,1,1,1,1,0,6,EVT-0006417,2026-01-31
AST-000358,S&T,Colour Light Signal,movement authority indication,HD,HARDA,WCR,Madhya Pradesh,SEC-HD-PAL,6.0,CRITICAL,85.5,139.0,0.9256,2.0,0,130.0,80.3,30.0,489,459.0,3,1,0,3,1,7,EVT-0009153,2026-07-12
AST-000359,Engineering,Bridge/Culvert,structural route continuity,DAO,DAGHORA,SECR,Chhattisgarh,SEC-DAO-HGR,22.2,HIGH,65.6,57.0,0.692,2.0,1,19.0,50.5,90.0,146,56.0,0,0,0,0,1,1,EVT-0006194,2026-01-17
AST-000360,Engineering,Ballast/Formation Zone,track geometry and drainage,KLB,KIRAOLI,NCR,Uttar Pradesh,SEC-KLB-MIQ,2.6,MEDIUM,44.5,28.0,0.4996,2.0,1,7.0,34.6,60.0,29,0.0,0,0,0,0,0,3,EVT-0004401,2025-10-01
AST-000361,S&T,Track Circuit,train detection,TLN,TALNI,CR,Maharashtra,SEC-TLN-PLO,3.1,CRITICAL,82.2,87.0,0.7933,2.0,0,64.0,72.2,30.0,479,449.0,0,0,0,0,0,4,EVT-0008574,2026-06-05
AST-000362,S&T,Colour Light Signal,movement authority indication,MHD,MAHEMDAVAD KHEDA RD,WR,Gujarat,SEC-MHD-NEP,15.5,CRITICAL,83.8,174.0,0.9629,2.0,0,134.0,81.9,30.0,60,30.0,0,0,0,0,1,3,EVT-0006299,2026-01-23
AST-000363,Engineering,Bridge/Culvert,structural route continuity,BTS,BASTA,SER,Orissa,SEC-BTS-NMBR,1.4,HIGH,76.8,113.0,0.8654,2.0,1,55.0,62.8,90.0,308,218.0,2,0,0,1,1,5,EVT-0009565,2026-08-05
AST-000364,Engineering,Rail/Track Section,direct train running safety,BAY,BELLARY JN,SWR,Karnataka,SEC-BAY-BYC,8.4,HIGH,61.8,30.0,0.5148,3.0,1,9.0,43.8,30.0,283,253.0,0,0,0,0,1,2,EVT-0007962,2026-05-01
AST-000365,S&T,Track Circuit,train detection,KAI,KAIRLA,NWR,Rajasthan,SEC-KAI-PRDH,10.9,HIGH,69.1,26.0,0.483,4.0,1,12.0,47.8,30.0,370,340.0,0,0,0,0,1,4,EVT-0009728,2026-08-15
AST-000366,Engineering,Sleeper/Fastening Zone,track gauge and stability,KNS,KANCHAUSI,NCR,Uttar Pradesh,SEC-KNS-PJY,8.7,HIGH,69.8,185.0,0.9805,2.0,1,79.0,67.4,30.0,155,125.0,1,0,0,1,0,4,EVT-0009686,2026-08-12
AST-000367,Engineering,Level Crossing Surface,road-rail interface,HNPA,HANDAPA,SER,Odisha,SEC-HNPA-BONA,16.3,MEDIUM,51.9,32.0,0.5312,2.0,0,17.0,50.2,30.0,21,0.0,0,0,0,0,0,3,EVT-0009599,2026-08-08
AST-000368,Engineering,Points & Crossing,route setting and derailment prevention,SRKI,SEMARKHERI,WCR,Madhya Pradesh,SEC-SRKI-KXB,7.0,HIGH,66.6,32.0,0.5312,3.0,1,12.0,45.9,14.0,35,21.0,0,0,0,0,0,1,EVT-0004545,2025-10-10
AST-000370,Engineering,Bridge/Culvert,structural route continuity,LKNR,LAKHPAT NAGAR,NER,Uttar Pradesh,SEC-LKNR-MSW,4.4,HIGH,72.3,101.0,0.8329,2.0,1,40.0,59.9,90.0,260,170.0,0,0,0,0,1,1,EVT-0004090,2025-09-14
AST-000371,Engineering,Ballast/Formation Zone,track geometry and drainage,ATP,ANANTAPUR,SCR,Andhra Pradesh,SEC-ATP-GDE,30.5,MEDIUM,50.9,72.0,0.7437,3.0,1,27.0,53.6,60.0,254,194.0,1,1,0,1,1,5,EVT-0009823,2026-08-20
AST-000372,Engineering,Rail/Track Section,direct train running safety,KODN,KODUMUNDA,SR,Kerala,SEC-KODN-PTB,22.7,HIGH,68.9,82.0,0.782,2.0,1,30.0,56.2,30.0,8,0.0,2,1,1,1,1,4,EVT-0003788,2025-08-27
AST-000373,Traction,OHE Contact/Catenary,traction power collection,AHM,AHIMANPUR,NER,Uttar Pradesh,SEC-AHM-ALMW,2.9,HIGH,63.6,38.0,0.5758,2.0,1,10.0,43.6,30.0,49,19.0,0,0,0,0,0,1,EVT-0000041,2025-01-03
AST-000374,Engineering,Sleeper/Fastening Zone,track gauge and stability,DRD,DAHANU ROAD,WR,Maharashtra,SEC-DRD-GVD,2.7,HIGH,72.3,180.0,0.9723,2.0,1,88.0,67.6,30.0,72,42.0,0,0,0,0,0,2,EVT-0009887,2026-08-24
AST-000375,Traction,Cantilever Assembly,OHE geometry,CDH,Chakdaha,ER,West Bengal,SEC-CDH-PDX,2.5,MEDIUM,49.2,32.0,0.5312,2.0,1,13.0,37.5,30.0,235,205.0,2,1,1,1,0,6,EVT-0009055,2026-07-06
AST-000376,Engineering,Bridge/Culvert,structural route continuity,ADD,ADAS ROAD,WR,Gujarat,SEC-ADD-VDA,5.3,HIGH,76.1,178.0,0.9655,3.0,1,54.0,72.1,90.0,75,0.0,3,1,0,2,0,6,EVT-0009780,2026-08-18
AST-000377,Traction,Traction Substation,traction power supply,NBS,NEW BANESWAR,NFR,West Bengal,SEC-NBS-NCB,2.4,HIGH,75.7,71.0,0.7384,2.0,0,39.0,67.5,30.0,27,0.0,0,0,0,0,1,1,EVT-0002183,2025-05-17
AST-000378,Traction,Cantilever Assembly,OHE geometry,BRI,BHIRINGI,WCR,Madhya Pradesh,SEC-BRI-MUO,7.5,HIGH,67.2,139.0,0.9256,2.0,1,54.0,63.7,30.0,51,21.0,0,0,0,0,0,1,EVT-0000683,2025-02-10
AST-000379,Traction,OHE Contact/Catenary,traction power collection,AMRO,AMROHA,NR,Uttar Pradesh,SEC-AMRO-KFPR,3.7,HIGH,69.2,104.0,0.8436,2.0,1,41.0,59.7,30.0,360,330.0,0,0,0,0,0,3,EVT-0008539,2026-06-03
AST-000380,Traction,Traction Substation,traction power supply,BDL,VINDHYACHAL,NER,Uttar Pradesh,SEC-BDL-MZP,2.7,CRITICAL,84.6,179.0,0.968,2.0,0,133.0,82.4,30.0,81,51.0,1,1,0,1,1,5,EVT-0009682,2026-08-12
AST-000381,Engineering,Sleeper/Fastening Zone,track gauge and stability,BZ,BHARUR,NR,Punjab,SEC-BZ-SAG,1.4,MEDIUM,55.3,35.0,0.5523,2.0,1,13.0,40.2,30.0,265,235.0,0,0,0,0,1,4,EVT-0006104,2026-01-11
AST-000382,S&T,Axle Counter,train detection,DRD,DAHANU ROAD,WR,Maharashtra,SEC-DRD-GVD,21.9,CRITICAL,83.6,184.0,0.9779,2.0,0,133.0,82.7,30.0,54,24.0,1,1,0,1,1,3,EVT-0009380,2026-07-25
AST-000383,Engineering,Bridge/Culvert,structural route continuity,ADTP,ADITYAPUR,SER,Jharkhand,SEC-ADTP-GMH,11.1,HIGH,75.2,92.0,0.8033,5.0,1,43.0,71.0,90.0,11,0.0,0,0,0,0,0,1,EVT-0002596,2025-06-12
AST-000384,Traction,OHE Contact/Catenary,traction power collection,JAQ,JANDRAPETA,SCR,Andhra Pradesh,SEC-JAQ-VTM,3.3,HIGH,75.4,180.0,0.9723,2.0,1,70.0,68.3,30.0,68,38.0,0,0,0,0,1,1,EVT-0001886,2025-04-27
AST-000385,Traction,Section Insulator,electrical sectioning,GHSR,GHASARA HALT,NCR,Uttar Pradesh,SEC-GHSR-ULD,10.9,HIGH,69.5,185.0,0.9805,2.0,1,101.0,67.3,30.0,360,330.0,1,1,0,1,1,3,EVT-0006451,2026-02-02
AST-000386,Engineering,Rail/Track Section,direct train running safety,BTE,BHARATPUR JN,WCR,Rajasthan,SEC-BTE-NHB,4.2,HIGH,66.4,34.0,0.5479,4.0,1,11.0,50.7,30.0,107,77.0,0,0,0,0,0,3,EVT-0008343,2026-05-23
AST-000388,Engineering,Points & Crossing,route setting and derailment prevention,MRA,MORENA,NCR,Madhya Pradesh,SEC-MRA-SANK,9.8,CRITICAL,86.9,155.0,0.9499,2.0,0,101.0,82.0,14.0,41,27.0,0,0,0,0,0,1,EVT-0002479,2025-06-05
AST-000389,Traction,Circuit Breaker/Interrupter,traction protection and isolation,DDMT,DARIMETA,SECR,Madhya Pradesh,SEC-DDMT-PAR,10.2,CRITICAL,81.1,125.0,0.895,2.0,0,96.0,77.5,30.0,153,123.0,3,2,0,2,1,5,EVT-0008890,2026-06-26
AST-000390,Traction,Cantilever Assembly,OHE geometry,SIQ,SARKONI,NR,Uttar Pradesh,SEC-SIQ-ZBD,4.6,HIGH,68.7,87.0,0.7933,6.0,1,32.0,68.8,30.0,19,0.0,0,0,0,0,0,2,EVT-0002358,2025-05-29
AST-000391,Traction,OHE Contact/Catenary,traction power collection,CJE,KANCHIPURAM EAST,SR,Tamil Nadu,SEC-CJE-TRX,2.8,MEDIUM,46.3,1.0,0.0163,13.0,1,0.0,20.5,30.0,23,0.0,0,0,0,0,0,1,EVT-0002099,2025-05-12
AST-000392,Engineering,Bridge/Culvert,structural route continuity,BMSN,Bamsin,NWR,Rajasthan,SEC-BMSN-RHI,4.6,HIGH,61.0,6.0,0.1827,2.0,1,2.0,21.3,90.0,104,14.0,0,0,0,0,1,2,EVT-0008956,2026-06-30
AST-000393,Traction,Section Insulator,electrical sectioning,KHD,KHODIYAR,WR,Gujarat,SEC-KHD-SBI,11.3,MEDIUM,58.6,14.0,0.3381,12.0,1,6.0,41.2,30.0,228,198.0,0,0,0,0,0,7,EVT-0009215,2026-07-16
AST-000394,S&T,Interlocked Level Crossing,road-rail protection,BALR,BAITALPUR,NER,Uttar Pradesh,SEC-BALR-DEOS,10.6,HIGH,77.4,86.0,0.7901,2.0,0,65.0,70.8,14.0,113,99.0,0,0,0,0,1,3,EVT-0008859,2026-06-24
AST-000395,Engineering,Level Crossing Surface,road-rail interface,KSTA,KASTHA,ECR,Bihar,SEC-KSTA-PRY,9.1,HIGH,64.5,105.0,0.8477,2.0,0,62.0,70.7,30.0,7,0.0,0,0,0,0,0,4,EVT-0008136,2026-05-11
AST-000396,Engineering,Rail/Track Section,direct train running safety,AIT,AIT,NCR,Uttar Pradesh,SEC-AIT-PRN,4.4,HIGH,73.7,59.0,0.6976,3.0,1,31.0,56.8,30.0,29,0.0,0,0,0,0,1,2,EVT-0009787,2026-08-18
AST-000397,S&T,Interlocked Level Crossing,road-rail protection,PDRD,PINDRA ROAD,NER,Uttar Pradesh,SEC-PDRD-KSF,11.2,CRITICAL,79.2,87.0,0.7933,2.0,0,59.0,71.4,14.0,12,0.0,0,0,0,0,1,2,EVT-0008044,2026-05-06
AST-000400,Traction,Traction Substation,traction power supply,KDLR,KANDEL ROAD,ECoR,Orissa,SEC-KDLR-KSNG,11.2,HIGH,70.7,32.0,0.5312,2.0,0,17.0,54.9,30.0,348,318.0,0,0,0,0,0,3,EVT-0006925,2026-03-01
AST-000401,Engineering,Ballast/Formation Zone,track geometry and drainage,GVN,GODAVARI,SCR,Andhra Pradesh,SEC-GVN-KVR,1.5,MEDIUM,58.4,146.0,0.9392,3.0,1,55.0,66.3,60.0,110,50.0,1,1,0,1,0,4,EVT-0006896,2026-02-28
AST-000402,Traction,Feeder/Return Conductor,traction current path,KMT,KHAMMAM,SCR,Andhra Pradesh,SEC-KMT-PNDP,3.5,MEDIUM,55.9,125.0,0.895,2.0,1,47.0,59.2,60.0,86,26.0,0,0,0,0,1,1,EVT-0007588,2026-04-08
AST-000403,Engineering,Level Crossing Surface,road-rail interface,MTJ,MATHURA JN,WCR,Uttar Pradesh,SEC-MTJ-MRT,15.0,HIGH,69.9,230.0,0.9974,5.0,1,109.0,80.3,30.0,63,33.0,0,0,0,0,1,1,EVT-0004376,2025-09-30
AST-000404,Traction,Section Insulator,electrical sectioning,KCG,KACHEGUDA,SCR,Andhra Pradesh,SEC-KCG-MXT,5.2,HIGH,69.7,114.0,0.87,3.0,1,42.0,65.3,30.0,171,141.0,0,0,0,0,1,4,EVT-0008618,2026-06-08
AST-000405,Engineering,Points & Crossing,route setting and derailment prevention,KYQ,KAMAKHYA,NFR,Assam,SEC-KYQ-AGT,9.1,CRITICAL,85.0,103.0,0.8368,11.0,1,43.0,75.3,14.0,113,99.0,1,1,0,1,0,6,EVT-0009045,2026-07-05
AST-000406,S&T,Colour Light Signal,movement authority indication,SRPJ,SWARUPGANJ,NWR,Rajasthan,SEC-SRPJ-BMN,14.2,CRITICAL,82.7,60.0,0.7026,2.0,0,39.0,67.3,30.0,5,0.0,0,0,0,0,1,2,EVT-0000623,2025-02-06
AST-000407,Engineering,Bridge/Culvert,structural route continuity,MDKI,MADUKARAI,SR,Tamil Nadu,SEC-MDKI-PTJ,2.4,HIGH,74.6,108.0,0.8518,4.0,1,37.0,69.5,90.0,30,0.0,0,0,0,0,1,2,EVT-0006272,2026-01-22
AST-000408,Engineering,Ballast/Formation Zone,track geometry and drainage,BU,BASWA,NWR,Haryana,SEC-BU-SRRG,11.4,MEDIUM,50.2,54.0,0.6777,2.0,1,12.0,45.8,60.0,360,300.0,0,0,0,0,1,3,EVT-0009765,2026-08-17
AST-000409,S&T,Colour Light Signal,movement authority indication,CLKA,CHILKA,ECoR,Orissa,SEC-CLKA-KLJI,3.7,CRITICAL,86.5,97.0,0.8213,2.0,0,74.0,74.8,30.0,532,502.0,0,0,0,0,1,5,EVT-0009651,2026-08-11
AST-000410,Engineering,Rail/Track Section,direct train running safety,GVB,GUNERU BAMORI,WCR,Madhya Pradesh,SEC-GVB-MNV,5.3,HIGH,62.4,32.0,0.5312,3.0,1,11.0,44.8,30.0,40,10.0,2,2,1,1,1,3,EVT-0009581,2026-08-07
AST-000411,Engineering,Rail/Track Section,direct train running safety,CTO,CHITTOOR,SCR,Andhra Pradesh,SEC-CTO-PTT,6.8,HIGH,67.8,51.0,0.66,3.0,1,22.0,53.3,30.0,237,207.0,1,0,0,0,1,6,EVT-0009233,2026-07-17
AST-000412,Engineering,Ballast/Formation Zone,track geometry and drainage,MRJ,MIRAJ JN,CR,Maharashtra,SEC-MRJ-VRB,3.9,MEDIUM,54.2,46.0,0.634,5.0,1,18.0,56.4,60.0,90,30.0,0,0,0,0,1,1,EVT-0002119,2025-05-13
AST-000413,Engineering,Bridge/Culvert,structural route continuity,AMRO,AMROHA,NR,Uttar Pradesh,SEC-AMRO-KFPR,13.3,HIGH,70.6,104.0,0.8436,2.0,1,46.0,60.0,90.0,102,12.0,0,0,0,0,0,4,EVT-0009819,2026-08-20
AST-000414,S&T,Colour Light Signal,movement authority indication,COI,CHEOKI,NER,Uttar Pradesh,SEC-COI-NYN,5.3,CRITICAL,84.4,179.0,0.968,5.0,1,93.0,82.3,30.0,95,65.0,1,1,0,1,1,4,EVT-0009933,2026-08-26
AST-000415,Engineering,Points & Crossing,route setting and derailment prevention,MDKI,MADUKARAI,SR,Tamil Nadu,SEC-MDKI-PTJ,2.6,CRITICAL,82.4,108.0,0.8518,2.0,0,68.0,75.4,14.0,9,0.0,0,0,0,0,1,1,EVT-0000938,2025-02-25
AST-000416,S&T,Interlocked Level Crossing,road-rail protection,KNYR,Kaniuru Halt,SWR,Karnataka,SEC-KNYR-YDM,20.9,MEDIUM,56.6,6.0,0.1827,2.0,0,3.0,32.2,14.0,200,186.0,1,0,0,0,0,2,EVT-0003814,2025-08-29
AST-000417,S&T,Electronic Interlocking,route locking and conflict prevention,BWR,BARWA SAGAR,NCR,Uttar Pradesh,SEC-BWR-NEW,2.4,CRITICAL,78.1,22.0,0.4412,2.0,0,12.0,51.8,30.0,39,9.0,0,0,0,0,0,1,EVT-0007624,2026-04-11
AST-000418,S&T,Track Circuit,train detection,BRPA,BARUIPARA,ER,West Bengal,SEC-BRPA-MBE,12.1,CRITICAL,87.1,132.0,0.9117,2.0,0,82.0,79.9,30.0,56,26.0,1,1,0,0,0,5,EVT-0009211,2026-07-16
AST-000419,Traction,OHE Contact/Catenary,traction power collection,BLRG,BALASIRING,SER,Jharkhand,SEC-BLRG-HTE,3.2,MEDIUM,56.6,2.0,0.0714,13.0,1,1.0,26.1,30.0,62,32.0,2,1,1,1,0,4,EVT-0009719,2026-08-14
AST-000420,Traction,Section Insulator,electrical sectioning,DBSI,DAYA BASTI,NR,Delhi NCT,SEC-DBSI-DKZ,5.2,MEDIUM,44.8,1.0,0.0163,6.0,1,0.0,20.1,30.0,78,48.0,1,1,0,1,1,4,EVT-0008216,2026-05-16
AST-000421,Traction,OHE Contact/Catenary,traction power collection,JLL,JALALGANJ,NR,Uttar Pradesh,SEC-JLL-TLMD,5.5,HIGH,66.0,87.0,0.7933,2.0,1,35.0,56.1,30.0,175,145.0,0,0,0,0,1,4,EVT-0007861,2026-04-25
AST-000422,Traction,Circuit Breaker/Interrupter,traction protection and isolation,KNC,KANCHANPUR ROAD,WCR,Madhya Pradesh,SEC-KNC-JOBA,7.7,MEDIUM,57.1,7.0,0.1958,2.0,0,3.0,33.0,30.0,195,165.0,0,0,0,0,1,2,EVT-0008465,2026-05-30
AST-000423,S&T,Axle Counter,train detection,JPI,JHADUPUDI,ECoR,Andhra Pradesh,SEC-JPI-SPT,2.8,CRITICAL,85.9,95.0,0.8139,2.0,0,65.0,74.2,30.0,72,42.0,0,0,0,0,1,4,EVT-0008868,2026-06-25
AST-000424,S&T,Point Machine,route setting,NSL,NAGARSOL,SCR,Maharashtra,SEC-NSL-TR,11.7,HIGH,67.9,42.0,0.6015,3.0,1,24.0,50.1,14.0,247,233.0,2,1,1,2,1,7,EVT-0009345,2026-07-24
AST-000425,Engineering,Rail/Track Section,direct train running safety,SBH,SULEBHAVI,SWR,Karnataka,SEC-SBH-SXB,4.9,HIGH,63.6,44.0,0.6226,2.0,1,19.0,46.1,30.0,126,96.0,1,0,0,1,1,5,EVT-0007869,2026-04-26
